,song_id,n_melody_frames,n_beats,rest_ratio,lowest_pitch,highest_pitch,pitch_range,unique_pitches,unique_chords
count,200,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
unique,200,,,,,,,,
top,001,,,,,,,,
freq,1,,,,,,,,
mean,,634.515,330.04,0.3924932466359787,63.405,81.315,17.91,10.87,17.03
std,,182.64252306392336,96.57355048493523,0.1627072728781749,5.213142938428066,5.545225208507345,3.706831937797474,2.8236438911662716,7.9375135025406465
min,,108.0,54.0,0.0531400966183575,50.0,67.0,9.0,5.0,6.0
25%,,522.75,261.75,0.26386909004514136,60.0,78.75,16.0,9.0,11.0
50%,,590.0,305.0,0.38290819226787776,64.0,81.0,17.0,10.0,15.0
75%,,726.0,382.0,0.4975900709545569,67.0,85.0,19.0,12.0,22.0
max,,1564.0,785.0,0.8530405405405406,76.0,98.0,34.0,21.0,43.0
