,song_id,n_melody_frames,n_beats,rest_ratio,lowest_pitch,highest_pitch,pitch_range,unique_pitches,unique_chords
count,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
unique,12,,,,,,,,
top,001,,,,,,,,
freq,1,,,,,,,,
mean,,127.41666666666667,63.0,0.5638242159834187,60.0,72.0,12.0,8.0,4.0
std,,0.7929614610987591,0.0,0.023675261075366376,0.0,0.0,0.0,0.0,0.0
min,,126.0,63.0,0.515625,60.0,72.0,12.0,8.0,4.0
25%,,127.0,63.0,0.552734375,60.0,72.0,12.0,8.0,4.0
50%,,128.0,63.0,0.5629960317460317,60.0,72.0,12.0,8.0,4.0
75%,,128.0,63.0,0.5812315452755905,60.0,72.0,12.0,8.0,4.0
max,,128.0,63.0,0.5952380952380952,60.0,72.0,12.0,8.0,4.0
